start_read_date,end_read_date,total_consumption,time_of_peak_demand,total_cost
2022-02-03 00:00:00,2022-03-02 00:00:00,299256.2487461941,15:53:00,43485.76197154423
2022-03-02 00:00:00,2022-04-04 00:00:00,432299.08035172854,13:29:00,61670.25896128809
2022-04-04 00:00:00,2022-05-04 00:00:00,283888.97045093303,11:06:00,69051.25414598711
2022-05-04 00:00:00,2022-06-02 00:00:00,543101.6940996214,13:46:00,96857.02913442756
2022-06-03 00:00:00,2022-07-05 00:00:00,579884.8375908752,14:42:00,103352.94931646824
2022-07-05 00:00:00,2022-08-04 00:00:00,588576.9679315126,15:39:00,134819.53839601047
2022-08-04 00:00:00,2022-09-02 00:00:00,661328.4481844871,14:06:00,123521.42993390872
2022-09-02 00:00:00,2022-10-04 00:00:00,503189.14296609885,12:54:00,116605.48657223186
2022-10-04 00:00:00,2022-11-03 00:00:00,577681.522112772,14:42:00,108256.2280153691
2022-11-03 00:00:00,2022-12-05 00:00:00,446664.64650840376,12:20:00,96200.7664020095
